,title,author,URL,descriptiveness,wordiness,difficulty,dialogue-heavy
0,A Man Like Him,Yiyun Li,https://www.newyorker.com/magazine/2008/05/12/a-man-like-him,0,7,6,3
1,A Rich Man,Edward P. Jones,https://www.newyorker.com/magazine/2003/08/04/a-rich-man,1,9,1,8
2,An Anonymous Island,Yi Mun-yol,https://www.newyorker.com/magazine/2011/09/12/an-anonymous-island,5,3,6,4
3,Another Life,Paul La Farge,https://www.newyorker.com/magazine/2012/07/02/another-life-2,1,2,3,1
4,Are We Not Men?,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2016/11/07/are-we-not-men,3,7,4,7
5,Ash,Roddy Doyle,https://www.newyorker.com/magazine/2010/05/24/ash,3,0,0,0
6,Brother on Sunday,A. M. Homes,https://www.newyorker.com/magazine/2009/03/02/brother-on-sunday,5,3,1,9
7,Bull,Mo Yan,https://www.newyorker.com/magazine/2012/11/26/bull-2,3,7,3,4
8,Chance,Alice Munro,https://www.newyorker.com/magazine/2004/06/14/chance,4,9,2,9
9,Clara,Roberto Bolaño,https://www.newyorker.com/magazine/2008/08/04/clara-roberto-bolano,2,2,4,1
10,Corrie,Alice Munro,https://www.newyorker.com/magazine/2010/10/11/corrie,3,5,2,7
11,Delicate Wives,John Updike,https://www.newyorker.com/magazine/2004/02/02/delicate-wives,9,1,8,4
12,Find the Bad Guy,Jeffrey Eugenides,https://www.newyorker.com/magazine/2013/11/18/find-the-bad-guy,7,8,1,9
13,La Ragazza,Andrea Lee,https://www.newyorker.com/magazine/2004/02/16/la-ragazza,9,9,9,5
14,Leaving Maverley,Alice Munro,https://www.newyorker.com/magazine/2011/11/28/leaving-maverley,0,7,3,5
15,Married Love,Tessa Hadley,https://www.newyorker.com/magazine/2007/10/08/married-love-2,9,4,7,8
16,Old Faithful,David Sedaris,https://www.newyorker.com/magazine/2004/11/29/old-faithful,6,1,4,4
17,Outage,John Updike,https://www.newyorker.com/magazine/2008/01/07/outage,7,1,8,5
18,Soldier’s Joy,Antonya Nelson,https://www.newyorker.com/magazine/2009/01/19/soldiers-joy,7,6,7,7
19,The Bell Ringer,John Burnside,https://www.newyorker.com/magazine/2008/03/17/the-bell-ringer,3,5,3,3
20,The Cheater’s Guide to Love,Junot Díaz,https://www.newyorker.com/magazine/2012/07/23/the-cheaters-guide-to-love,2,9,1,1
21,The Fragments,Joshua Ferris,https://www.newyorker.com/magazine/2013/04/29/the-fragments,2,1,0,8
22,The Full Glass,John Updike,https://www.newyorker.com/magazine/2008/05/26/the-full-glass,9,4,8,2
23,The Joke,Roddy Doyle,https://www.newyorker.com/magazine/2004/11/29/the-joke-2,1,0,0,0
24,The Judge’s Will,Ruth Prawer Jhabvala,https://www.newyorker.com/magazine/2013/03/25/the-judges-will,4,5,5,6
25,The Musical Brain,César Aira,https://www.newyorker.com/magazine/2011/12/05/the-musical-brain,6,7,9,2
26,Victory,Yu Hua,https://www.newyorker.com/magazine/2013/08/26/victory-7,0,4,2,6
27,A Death in Kitchawank,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2010/01/18/a-death-in-kitchawank,5,9,4,5
28,Apple Cake,Allegra Goodman,https://www.newyorker.com/magazine/2014/07/07/apple-cake,3,6,5,9
29,Aspic,Tatyana Tolstaya,https://www.newyorker.com/magazine/2016/01/25/aspic-fiction-tatyana-tolstaya,9,0,4,0
30,Back the Way You Went,Anne Carson,https://www.newyorker.com/magazine/2016/10/31/back-the-way-you-went,4,0,4,1
31,Bad Dreams,Tessa Hadley,https://www.newyorker.com/magazine/2013/09/23/bad-dreams-3,4,2,7,1
